full_text,clean_text,tweet_url,image_url,user_id_str,conversation_id_str,created_at,MM/DD/YYYY,age_account,username,official_account,verified_account,quote_count,reply_count,retweet_count,favorite_count,followers_count,image_corelation,Label
Ga tanggung2 langsung 50 poin. Pantes IHSG terbang mulu ga kena UMA market selalu tau lebih dulu shm! https://t.co/tviJrX4uzZ,tanggung2 poin ihsg terbang melulu kena uma market shm,https://x.com/undefined/status/1836557855295696945,https://pbs.twimg.com/media/GXzDos6aUAAJnVy.jpg,1336580251493646343,1836557855295696945,2024-09-19 0:08:08,2020-12-01,4 Tahun 9 Bulan,Saham_fess,0,1,4,1,4,41,154600.0,1,1
dengan asumsi wave 1 merah selesai di 7910 maka area 7454 - 7347 bisa menjadi area target turun untuk wave 2 merah ihsg https://t.co/m031k1n7pN,asumsi wave merah selesai area 7454 7347 area target turun wave merah ihsg,https://x.com/undefined/status/1840682759326708203,https://pbs.twimg.com/media/GYtqognaUAAyfuu.png,67387899,1840682740917641268,2024-09-30 9:19:02,2009-08-01,16 Tahun 1 Bulan,wavetiga,0,0,0,1,0,0,483.0,1,0
Shm! IHSG ditutup hijau. Harus diakui King PP dan King Aguan adalah sang juru selamat IHSG Track record tidak pernah bohong. $BREN $CUAN $PANI https://t.co/oDmFj7BUkt,shm ihsg tutup hijau aku king pulang pergi king aguan sang juru selamat ihsg track record bohong bren cuan pan,https://x.com/undefined/status/1870032680068558872,https://pbs.twimg.com/media/GfOwz-tasAEPEb4.jpg,1336580251493646343,1870032680068558872,2024-12-20 9:05:09,2020-12-01,4 Tahun 9 Bulan,Saham_fess,0,1,0,6,1,45,154600.0,1,0
Penutupan sesi 2 Senin 25 Maret 2024 IHSG 7 377.76 (+0.38%) #IHSG #saham #investasi #indeks #pasarmodal #JCI #IDX #ciptadana #ciptadanasekuritasasia #bluechip https://t.co/Sgu36TsGyv,tutup sesi maret ihsg,https://x.com/undefined/status/1772198431857283347,https://pbs.twimg.com/media/GJgdEOeaAAAqi6U.jpg,1396754054915653634,1772198431857283347,2024-07-15 9:17:55,2021-05-01,4 Tahun 4 Bulan,pinepickid,1,0,0,0,0,0,848.0,1,1
@IrawanRommi @tradermletre @kibran_kangpari Ente bilang kedepannya. ini udah kedepan Ini IHSG hari ini.. Anjlok lagi dari yang saya share kemaren . ..ukuran ente kedepan itu apa ? Apbn awal bulan aja udah defisit..kedepan apa yang anda maksud..yang jelas..jangan retorika aja https://t.co/zM5NCDMjSa,ente bilang depan depan ihsg anjlok share ukur ente depan apbn defisit depan maksud retorika,https://x.com/undefined/status/1900599052636746056,https://pbs.twimg.com/media/GmBIw1PbcAMd7Ug.jpg,215894901,1900149752022655144,2025-03-14 17:25:00,2010-11-01,14 Tahun 10 Bulan,nsnnkbr,0,0,0,0,0,0,35800.0,1,1
Prabowo dorong danantara melaju cepat tanpa korbankan ketelitian https://t.co/GHk0svuu6a,prabowo dorong danantara laju cepat korban teliti,https://x.com/undefined/status/1898237595089617124,https://pbs.twimg.com/media/GlflCH4bwAAIQA9.jpg,1754044570827190272,1898237595089617124,Sat Mar 08 05:01:24 +0000 2025,02/01/2024,1 tahun 7 bulan,kusumaputri9898,0,0.0,0,0,0,0,4.0,1,1
APA TUJUAN PEMBENTUKAN DANANTARA? https://t.co/7I40TdNGtg,tuju bentuk danantara,https://x.com/undefined/status/1896085235764437345,https://pbs.twimg.com/media/GlA_eTwaIAApzPs.jpg,1564385765773021185,1896085235764437345,Sun Mar 02 06:28:42 +0000 2025,08/01/2022,3 tahun 1 bulan,derryakbr,0,0.0,0,2,0,1,29.0,1,1
Apakah Yup Kim long term guy? Visi Danantara adalah long term holding kata Pandu Sjahrir. https://t.co/Ypxn5LRLvU,kim long term guy visi danantara long term holding pandu sjahrir,https://x.com/undefined/status/1904063506531721377,https://pbs.twimg.com/media/GmyWUkwasAAHllA.png,12487102,1904060133715718203,Mon Mar 24 06:51:30 +0000 2025,01/01/2008,17 tahun 8 bulan,widianto,0,1.0,0,1,1,1,1280.0,1,1
IHSG gelap https://t.co/FVHLlbt4ZF,ihsg gelap,https://x.com/undefined/status/1895403403246965065,https://pbs.twimg.com/media/Gk3TWc-WUAA_ePt.jpg,201965045,1895403403246965065,2025-02-28 9:19:20,2010-10-01,14 Tahun 11 Bulan,desmondwira,0,1,1,5,8,46,52200.0,1,1
@Fahrihamzah Danantara anda banyak cerita Tapi investor masih ragu.. Bisnis itu tidak sama dgn politik.. Tidak bs cuma omon2 https://t.co/tIOFyuxV2i,danantara cerita investor ragu bisnis politik omon2,https://x.com/undefined/status/1896192416904069629,https://pbs.twimg.com/media/GlCg51PWQAAgK_g.jpg,1448175573189025792,1896126516783911210,Sun Mar 02 13:34:36 +0000 2025,10/01/2021,3 tahun 11 bulan,Caba_Roy,0,0.0,1,2,0,2,44.0,1,1
