full_text,clean_text,tweet_url,image_url,user_id_str,conversation_id_str,created_at,MM/DD/YYYY,age_account,username,official_account,verified_account,quote_count,reply_count,retweet_count,favorite_count,followers_count,image_corelation
Untuk kinerja YTD sampai minggu ke 46 naik sebesar 9 31% Sedangkan untuk kinerja YTD #IHSG turun sebesar -1 06% dalam periode yang sama https://t.co/UGvtyGFy1y,kerja ytd kerja ytd turun periode,https://x.com/undefined/status/1859916476834283989,https://pbs.twimg.com/media/Gc-_8r9bUAE3q_l.png,67387899,1859916442508091733,2024-11-22 11:06:58,2009-08-01,16 Tahun 1 Bulan,wavetiga,0,0,0,1,0,0,483.0,1
Badan Pengelola Investasi (BPI) Daya Anagata Nusantara yang lebih dikenal dengan nama Danantara akan resmi diluncurkan pada Senin (24/2/2025) oleh Presiden Prabowo Subianto. Danantara akan mengelola seluruh aset perusahaan Badan Usaha Milik Negara (BUMN) dalam satu dana https://t.co/q7PcvTtr89,badan kelola investasi bpi daya anagata nusantara kenal nama danantara resmi luncur presiden prabowo subianto danantara kelola aset usaha badan usaha negara bumn dana,https://x.com/undefined/status/1893647065969790988,https://pbs.twimg.com/media/GkeV9D0XcAA9w2q.jpg,154102750,1893647065969790988,Sun Feb 23 13:00:17 +0000 2025,06/01/2010,15 tahun 3 bulan,Beritasatu,1,1.0,0,1,0,0,1100000.0,1
Penembakan Donald Trump Masuk Radar Investor Begini Nasib IHSG &amp; Rupiah https://t.co/MODi2COQRM https://t.co/WASwp7EwSg,tembak donald trump masuk radar investor nasib ihsg rupiah,https://x.com/undefined/status/1812382928036676065,https://pbs.twimg.com/media/GSbgqz_WEAAtFhG.jpg,118646322,1812382928036676065,2024-07-15 9:17:55,2010-03-01,15 Tahun 6 Bulan,Bisniscom,0,1,0,0,0,0,1100000.0,1
Danantara mampu menjadi program terbaik hebat dukung yuk https://t.co/aBykGHYPse,danantara program baik hebat dukung yuk,https://x.com/undefined/status/1900790030542790800,https://pbs.twimg.com/media/GmD2dYeawAA0psD.jpg,1351005068011708419,1900790030542790800,Sat Mar 15 06:03:52 +0000 2025,01/01/2021,4 tahun 8 bulan,ZInformasi,0,0.0,0,0,0,0,112.0,1
Danantara berpotensi meningkatkan investasi di Indonesia https://t.co/eTBybI78Xm,danantara potensi investasi indonesia,https://x.com/undefined/status/1896737905823158463,https://pbs.twimg.com/media/GlKREolboAAmwsN.jpg,1742341989927153664,1896737905823158463,Tue Mar 04 01:42:11 +0000 2025,01/01/2024,1 tahun 8 bulan,pasaribunoah,0,0.0,0,0,0,1,21.0,1
Bank Indonesia (BI) resmi membuka program Semarak Rupiah Ramadan dan Berkah Idulfitri (Serambi) untuk menyediakan layanan penukaran uang baru dengan total Rp180 9 triliun. Setiap pengguna dapat menukarkan uang baru maksimal Rp4 3 juta. https://t.co/QA3kLBPBt7 https://t.co/Bdsva9iWzF,bank indonesia bi resmi buka program semarak rupiah ramadan berkah idulfitri serambi sedia layan tukar uang total rp180 triliun guna tukar uang maksimal rp4 juta,https://x.com/undefined/status/1896796322277290033,https://pbs.twimg.com/media/GlLGJMwawAAPlK4.jpg,1726873272686694400,1896796322277290033,Tue Mar 04 05:34:18 +0000 2025,11/01/2023,2 Tahun 8 Bulan,hypevox_id,1,0,0,0,0,0,277.0,0
Mencari rejeki yang benar bukan mencuri sepert mereka para perangkat baik desa hingga pusat. Bermain nota hanya untuk rupiah dan itu dijalankan lama baik dimasa pemerintahan Dhe @jokowi maupun Ndan Pres @prabowo benar2 memalukan https://t.co/cYad9p8cYQ,rezeki curi sepert perangkat desa pusat main nota rupiah jalan masa perintah deh ndan pres benar malu,https://x.com/undefined/status/1897138038163350004,https://pbs.twimg.com/ext_tw_video_thumb/1897138012527468544/pu/img/s5rQW_AAbKWeVurC.jpg,69235465,1897138038163350004,Wed Mar 05 04:12:10 +0000 2025,08/01/2009,16 Tahun 8 Bulan,Sukma_Ekalaya,0,0,0,0,1,1,1457.0,0
Responnya sudah pas hari ini. Ihsg juga gk semenakutkan yg kmrin dibilang orang2. Tdk kecepatan dan tdk terlambat juga pas timingnya. https://t.co/UO68qN0rSN,responnya pas ihsg takut bilang orang cepat lambat pas timingnya,https://x.com/Ndrewstjan/status/1909642407127531584,https://pbs.twimg.com/media/GoBppQoawAArpMD.jpg,1176673445263765504,1909629053776347400,2025-04-08 16:20:03,2019-09-01,6 Tahun 0 Bulan,Ndrewstjan,0,1,0,1,0,3,15700.0,0
Pembentukan Danantara adalah langkah strategis untuk meningkatkan kinerja dan efisiensi BUMN serta mempercepat pertumbuhan ekonomi nasional. #DanantaraUntukBangsa #BangkitBersamaDanantara #DanantaraBangunNegeri https://t.co/SDlbBFqtaS,bentuk danantara langkah strategis kerja efisiensi bumn cepat tumbuh ekonomi nasional,https://x.com/undefined/status/1903616917648429124,https://pbs.twimg.com/media/GmsBfJzbYAA74jg.jpg,1413438936425242624,1903616917648429124,Sun Mar 23 01:16:55 +0000 2025,07/01/2021,4 tahun 2 bulan,GrizelleJovank4,0,0.0,0,0,0,0,25.0,0
Yak setelah sabar beberapa bulan akhirnya mulai terasa juga efek nyerok saham-saham blue chip ini waktu IHSG anjlok. $BBRI $ASII https://t.co/6ItCq4DX8h,sabar efek nyerok sahamsaham blue chip ihsg anjlok bbri asi,https://x.com/undefined/status/1838141844573896978,https://pbs.twimg.com/media/GYJkRCMaMAA3oOr.jpg,278935510,1838141844573896978,2024-09-23 9:02:21,2011-04-01,14 Tahun 5 Bulan,syauqifikri,0,0,1,0,0,0,89.0,1
Danantara ikut tren dunia https://t.co/VtWBFdv9VD,danantara trend dunia,https://x.com/undefined/status/1904350778330137087,https://pbs.twimg.com/media/Gm2c8LYaMAApAX2.jpg,1615863108630728705,1904350778330137087,Tue Mar 25 01:53:01 +0000 2025,01/01/2023,2 tahun 8 bulan,Indonesia_Satu0,0,0.0,0,0,0,0,169.0,1
Ayoo @ShopeeID min doain ya aku supaya agar dapetin Mobil Toyota Calya cuma dengan modal seribu rupiah aja kalian juga do'ain ya ya ya mobil impian ku nih #CalyaRP1000diShopeeLive https://t.co/jQLrZv7Co6,ayo min doain mobil toyota calya modal ribu rupiah do ain mobil impi ku,https://x.com/undefined/status/1896559152660611375,https://pbs.twimg.com/media/GlHufonaEAECN8x.jpg,1712314540560695296,1896559152660611375,Mon Mar 03 13:51:53 +0000 2025,10/01/2023,2 Tahun 8 Bulan,yas_min_02,0,0,0,0,0,0,167.0,1
Berakhir merah. IHSG 7.130 -33.9(-0.47%). https://t.co/96RwRxxjFI,merah ihsg 130 33,https://x.com/undefined/status/1780525563809255771,https://pbs.twimg.com/media/GLWyjr4boAA0tI-.jpg,1696740314726440960,1780525563809255771,2024-07-15 9:17:55,2023-08-01,2 Tahun 1 Bulan,t_marasi,0,0,0,0,0,0,11.0,1
Danantara Indonesia percepat pembiayaan transisi energi. https://t.co/F6LN0tRn6R,danantara indonesia cepat biaya transisi energi,https://x.com/undefined/status/1903257181417611668,https://pbs.twimg.com/media/Gmm6TTGaMAAGFrk.jpg,1566807909799182336,1903257181417611668,Sat Mar 22 01:27:27 +0000 2025,09/01/2022,3 tahun 0 bulan,gayoesme,0,0.0,0,0,0,0,30.0,1
